"Name","# requests","50%","66%","75%","80%","90%","95%","98%","99%","99.9%","99.99%","100%"
"grpc /sayhello",20,480,490,530,700,750,840,840,840,840,840,840
"Aggregated",20,480,490,530,700,750,840,840,840,840,840,840
